Audi A6,1984,252,250,6.9
Audi A6,2773,204,242,8.3
Audi A6,2995,310,250,5.9
Audi A6,1968,177,228,9.0
Audi A6,2967,218,244,7.3
Audi A4,1968,136,214,9.5
Audi A4,1968,163,228,8.2
Audi A4,1968,150,224,8.6
Audi A4,1984,190,241,7.3
Audi A4,1984,245,250,5.8
BMW 3,2998,374,250,4.4
BMW 3,1995,143,210,9.6
BMW 3,2998,374,250,4.5
BMW 3,2993,265,250,4.3
BMW 3,2979,431,250,5.5
BMW 5,1995,150,216,8.8
BMW 5,2993,400,250,4.6
BMW 5,2993,320,250,4.7
BMW 5,1995,231,250,6.6
BMW 5,4395,600,250,3.4
Ferrari 458,4497,570,325,3.4
Ferrari 599,5999,620,330,3.7
Mercedes A,1332,163,225,8.0
Mercedes A,1991,224,250,6.2
Mercedes A,1991,306,250,4.0
Mercedes A,1950,190,235,7.0
Mercedes CLA,1995,224,250,6.3
Mercedes CLA,1991,421,290,4.0
Mercedes CLA,1991,306,250,4.0
Mercedes CLA,1991,387,250,4.0
Lexus RC,3456,310,209,6.0
Lexus RC,4969,477,286,4.5
Lexus RC,4969,464,270,4.3
Lexus RC,2494,241,190,8.6
Lexus LS,3456,421,250,4.5
Lexus LS,3456,359,250,4.5
Lexus IS,2499,207,225,8.1
Lexus IS,1998,245,230,7.0
Porsche 911,2981,450,306,3.6
Porsche 911,2981,450,308,3.7
Porsche Cayenne,3996,550,286,3.9
Porsche Cayenne,2894,440,265,5.2
Infiniti Q50,2997,405,250,5.1
Infiniti Q50,1991,211,245,7.2
Infiniti QX30,1991,211,230,7.3
Infiniti QX30,2143,170,215,8.5
Ford Mondeo,1498,160,214,9.1
Ford Mondeo,1997,240,235,8.0
Ford Mondeo,1499,120,192,11.5
Ford Mondeo,1997,210,233,7.9
VW Golf,1498,130,214,9.2
VW Golf,1498,150,224,8.5
VW Golf,1968,115,202,10.2
VW Golf,1968,150,223,8.8
VW Passat,1798,180,232,7.9
VW Passat,1984,280,250,5.5
VW Passat,1498,150,220,8.7
VW Passat,1968,240,247,6.1
Opel Astra,1362,120,192,10.8
Opel Astra,1598,200,230,7.9
Opel Astra,1998,280,250,6.0
Opel Astra,1598,136,198,10.2
Opel Insignia,1956,210,233,7.9
Opel Insignia,1998,260,250,7.3
Opel Insignia,1598,200,232,7.9
Opel Insignia,1956,170,223,8.9
Ford Focus,999,125,200,10.0
Ford Focus,1497,150,208,8.9
Ford Focus,1497,182,220,8.4
Ford Focus,1996,150,207,9.3
Peugeot 508,1499,130,210,10.0
Peugeot 508,1997,180,265,8.3
Peugeot 508,1997,160,230,8.4
Peugeot 508,1598,225,250,7.3
Peugeot 3008,1199,130,188,10.8
Peugeot 3008,1598,180,206,8.9
Peugeot 3008,1499,130,192,11.5
Peugeot 3008,1997,180,208,9.2
Nissan Micra,898,90,175,12.1
Nissan Micra,999,117,195,9.9
Nissan Micra,999,100,177,13.0
Nissan Micra,1461,90,179,11.9
Nissan Qashqai,1197,115,200,9.1
Nissan Qashqai,1618,163,200,9.1
Nissan Qashqai,1618,163,200,9.1
Nissan Qashqai,1598,130,183,11.1
Mazda 6,1998,145,204,10.3
Mazda 6,1998,165,216,9.1
Mazda 6,2488,192,223,7.8
Mazda 6,2191,175,216,8.4
Mazda CX-5,1998,160,198,10.9
Mazda CX-5,2488,194,195,8.9
Mazda CX-5,2191,150,196,10.3
Mazda CX-5,2191,184,211,9.3
Jaguar F-Pace,1997,250,217,6.8
Jaguar F-Pace,2995,380,250,5.5
Jaguar F-Pace,1999,180,208,8.7
Jaguar F-Pace,2993,300,241,6.2
Maybach,5980,630,250,5.1
Lamborghini,6498,700,350,2.9